sub,group,phase,SCR
20,Standard,Late_Ext,0.034234843
21,Standard,Late_Ext,-0.000118184
22,Standard,Late_Ext,0.001931979
23,Standard,Late_Ext,-0.001194925
24,Standard,Late_Ext,0.009643618
25,Standard,Late_Ext,-0.002862878
26,Standard,Late_Ext,-0.064553664
27,Standard,Late_Ext,-0.049254441
28,Standard,Late_Ext,0.010052124
29,Standard,Late_Ext,0.000417239
30,Standard,Late_Ext,-0.012048205
31,Imagined,Late_Ext,0.082067417
32,Imagined,Late_Ext,0.043705972
33,Imagined,Late_Ext,-0.001324031
34,Imagined,Late_Ext,0.005202822
35,Imagined,Late_Ext,0.002809978
36,Imagined,Late_Ext,0.020517148
37,Imagined,Late_Ext,0.062323335
38,Imagined,Late_Ext,-0.013195506
39,Imagined,Late_Ext,-0.061964463
40,Imagined,Late_Ext,0.009165694
41,Imagined,Late_Ext,0.014892618
42,Imagined,Late_Ext,-0.006270861
1,None,Early_Reext,0.006961053
2,None,Early_Reext,0.045359789
3,None,Early_Reext,0.049356131
4,None,Early_Reext,0.067145666
5,None,Early_Reext,0.014629049
6,None,Early_Reext,0.084232962
7,None,Early_Reext,0.044326872
8,None,Early_Reext,-0.087923541
9,None,Early_Reext,0.008410298
10,None,Early_Reext,0.101369937
11,None,Early_Reext,0.024246899
12,None,Early_Reext,0.020157563
13,None,Early_Reext,0.101322504
14,Standard,Early_Reext,0.003580967
15,Standard,Early_Reext,0.048781849
16,Standard,Early_Reext,0.005422916
17,Standard,Early_Reext,0.006469952
18,Standard,Early_Reext,0.095660361
19,Standard,Early_Reext,0.179573393
20,Standard,Early_Reext,0.008013218
21,Standard,Early_Reext,0.015900094
22,Standard,Early_Reext,0.000108812
23,Standard,Early_Reext,0.018068151
24,Standard,Early_Reext,0.014529614
25,Standard,Early_Reext,-0.069117447
26,Standard,Early_Reext,-0.002251067
27,Standard,Early_Reext,0.028567351
28,Standard,Early_Reext,-0.003179085
29,Standard,Early_Reext,0.026382749
30,Standard,Early_Reext,0.148360417
31,Imagined,Early_Reext,0.037932589
32,Imagined,Early_Reext,0.215913997
33,Imagined,Early_Reext,0.048696199
34,Imagined,Early_Reext,0.013221787
35,Imagined,Early_Reext,-0.091273138
36,Imagined,Early_Reext,0.037541312
37,Imagined,Early_Reext,0.024330262
38,Imagined,Early_Reext,0.130773496
39,Imagined,Early_Reext,0.195899176
40,Imagined,Early_Reext,0.018411697
41,Imagined,Early_Reext,-0.007560841
42,Imagined,Early_Reext,0.200414119
1,None,Late_Reext,0.019976429
2,None,Late_Reext,0.015236287
3,None,Late_Reext,0.037159418
4,None,Late_Reext,0.016859949
5,None,Late_Reext,0.004927339
6,None,Late_Reext,0.161732154
7,None,Late_Reext,0.022431591
8,None,Late_Reext,0.103442812
9,None,Late_Reext,0.027233633
10,None,Late_Reext,0.011981591
11,None,Late_Reext,0.017222114
12,None,Late_Reext,0.002277868
13,None,Late_Reext,0.009072486
14,Standard,Late_Reext,0.001691917
15,Standard,Late_Reext,0.095529115
16,Standard,Late_Reext,0.020400436
17,Standard,Late_Reext,0.008266887
18,Standard,Late_Reext,-0.001527116
19,Standard,Late_Reext,0.02622281
20,Standard,Late_Reext,-0.063500967
21,Standard,Late_Reext,-0.001582567
22,Standard,Late_Reext,0.00052081
23,Standard,Late_Reext,0.002013345
24,Standard,Late_Reext,0.031752428
25,Standard,Late_Reext,0.057198285
26,Standard,Late_Reext,-0.025852796
27,Standard,Late_Reext,-0.028835103
28,Standard,Late_Reext,-0.046186974
29,Standard,Late_Reext,-0.059690912
30,Standard,Late_Reext,-0.098274228
31,Imagined,Late_Reext,0.035730776
32,Imagined,Late_Reext,0.060129641
33,Imagined,Late_Reext,-0.008243212
34,Imagined,Late_Reext,-0.025133089
35,Imagined,Late_Reext,-8.66466E-05
36,Imagined,Late_Reext,-0.041965398
37,Imagined,Late_Reext,-0.027292078
38,Imagined,Late_Reext,0.00943211
39,Imagined,Late_Reext,-0.000667668
40,Imagined,Late_Reext,-0.019910956
41,Imagined,Late_Reext,0.004220949
42,Imagined,Late_Reext,0.009208789
